List of MCUs selection: 1617 items. Database version: Wed Jan 22 05:50:05 PST 2020,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Part No,Reference,Marketing Status,Unit Price for 10kU (US$),Board,Package,Flash,RAM,IO,Freq.
STM32F091CC,STM32F091CCUx,Active,1.805,,UFQFPN48,256 kBytes,32 kBytes,38,48 MHz
STM32F091RB,STM32F091RBTx,Active,1.677,,LQFP64,128 kBytes,32 kBytes,52,48 MHz
STM32F091RC,STM32F091RCHx,Active,1.871,,UFBGA64,256 kBytes,32 kBytes,52,48 MHz
STM32F091RC,STM32F091RCTx,Active,1.871,NUCLEO-F091RC,LQFP64,256 kBytes,32 kBytes,52,48 MHz
STM32F091RC,STM32F091RCYx,Active,1.871,,WLCSP64,256 kBytes,32 kBytes,52,48 MHz
STM32F091VB,STM32F091VBTx,Active,1.885,,LQFP100,128 kBytes,32 kBytes,88,48 MHz
STM32F091VC,STM32F091VCHx,Active,2.08,,UFBGA100,256 kBytes,32 kBytes,88,48 MHz
STM32F091VC,STM32F091VCTx,Active,2.08,STM32091C-EVAL,LQFP100,256 kBytes,32 kBytes,88,48 MHz
STM32F098CC,STM32F098CCTx,Active,1.805,,LQFP48,256 kBytes,32 kBytes,37,48 MHz
STM32F098CC,STM32F098CCUx,Active,1.805,,UFQFPN48,256 kBytes,32 kBytes,37,48 MHz
STM32F098RC,STM32F098RCHx,Active,1.871,,UFBGA64,256 kBytes,32 kBytes,51,48 MHz
STM32F098RC,STM32F098RCTx,Active,1.871,,LQFP64,256 kBytes,32 kBytes,51,48 MHz
STM32F098RC,STM32F098RCYx,Active,1.871,,WLCSP64,256 kBytes,32 kBytes,51,48 MHz
STM32F098VC,STM32F098VCHx,Active,2.08,,UFBGA100,256 kBytes,32 kBytes,87,48 MHz
STM32F098VC,STM32F098VCTx,Active,2.08,,LQFP100,256 kBytes,32 kBytes,87,48 MHz
STM32F100C4,STM32F100C4Tx,Active,1.319,,LQFP48,16 kBytes,4 kBytes,37,24 MHz
STM32F100C6,STM32F100C6Tx,Active,1.362,,LQFP48,32 kBytes,4 kBytes,37,24 MHz
STM32F100C8,STM32F100C8Tx,Active,1.47,,LQFP48,64 kBytes,8 kBytes,37,24 MHz
STM32F100CB,STM32F100CBTx,Active,1.729,,LQFP48,128 kBytes,8 kBytes,37,24 MHz
STM32F100R4,STM32F100R4Hx,Active,1.553,,TFBGA64,16 kBytes,4 kBytes,50,24 MHz
STM32F100R4,STM32F100R4Tx,Active,1.553,,LQFP64,16 kBytes,4 kBytes,51,24 MHz
STM32F100R6,STM32F100R6Hx,Active,1.596,,TFBGA64,32 kBytes,4 kBytes,50,24 MHz
STM32F100R6,STM32F100R6Tx,Active,1.596,,LQFP64,32 kBytes,4 kBytes,51,24 MHz
STM32F100R8,STM32F100R8Hx,Active,1.704,,TFBGA64,64 kBytes,8 kBytes,50,24 MHz
STM32F100R8,STM32F100R8Tx,Active,1.704,,LQFP64,64 kBytes,8 kBytes,51,24 MHz
STM32F100RB,STM32F100RBHx,Active,1.963,,TFBGA64,128 kBytes,8 kBytes,50,24 MHz
STM32F100RB,STM32F100RBTx,Active,1.963,STM32VLDISCOVERY,LQFP64,128 kBytes,8 kBytes,51,24 MHz
STM32F100RC,STM32F100RCTx,Active,2.329,,LQFP64,256 kBytes,24 kBytes,51,24 MHz
STM32F100RD,STM32F100RDTx,Active,2.653,,LQFP64,384 kBytes,32 kBytes,51,24 MHz
STM32F100RE,STM32F100RETx,Active,3.02,,LQFP64,512 kBytes,32 kBytes,51,24 MHz
STM32F100V8,STM32F100V8Tx,Active,1.906,,LQFP100,64 kBytes,8 kBytes,82,24 MHz
STM32F100VB,STM32F100VBTx,Active,2.165,,LQFP100,128 kBytes,8 kBytes,82,24 MHz
STM32F100VC,STM32F100VCTx,NRND,2.532,,LQFP100,256 kBytes,24 kBytes,82,24 MHz
STM32F100VD,STM32F100VDTx,NRND,2.856,,LQFP100,384 kBytes,32 kBytes,82,24 MHz
STM32F100VE,STM32F100VETx,NRND,3.222,,LQFP100,512 kBytes,32 kBytes,82,24 MHz
STM32F100ZC,STM32F100ZCTx,Active,2.879,,LQFP144,256 kBytes,24 kBytes,114,24 MHz
STM32F100ZD,STM32F100ZDTx,Active,3.203,,LQFP144,384 kBytes,32 kBytes,114,24 MHz
STM32F100ZE,STM32F100ZETx,Active,3.57,STM32100E-EVAL,LQFP144,512 kBytes,32 kBytes,114,24 MHz
STM32F101C4,STM32F101C4Tx,Active,1.476,,LQFP48,16 kBytes,4 kBytes,37,36 MHz
STM32F101C6,STM32F101C6Tx,Active,1.579,,LQFP48,32 kBytes,6 kBytes,37,36 MHz
STM32F101C8,STM32F101C8Tx,Active,1.73,,LQFP48,64 kBytes,10 kBytes,37,36 MHz
STM32F101C8,STM32F101C8Ux,Active,1.73,,UFQFPN48,64 kBytes,10 kBytes,37,36 MHz
STM32F101CB,STM32F101CBTx,Active,1.968,,LQFP48,128 kBytes,16 kBytes,37,36 MHz
STM32F101CB,STM32F101CBUx,Active,1.968,,UFQFPN48,128 kBytes,16 kBytes,37,36 MHz
STM32F101R4,STM32F101R4Tx,Active,1.614,,LQFP64,16 kBytes,4 kBytes,51,36 MHz
STM32F101R6,STM32F101R6Tx,Active,1.722,,LQFP64,32 kBytes,6 kBytes,51,36 MHz
STM32F101R8,STM32F101R8Tx,Active,1.937,,LQFP64,64 kBytes,10 kBytes,51,36 MHz
STM32F101RB,STM32F101RBHx,Active,2.175,,TFBGA64,128 kBytes,16 kBytes,50,36 MHz
STM32F101RB,STM32F101RBTx,Active,2.175,,LQFP64,128 kBytes,16 kBytes,51,36 MHz
STM32F101RC,STM32F101RCTx,Active,2.541,,LQFP64,256 kBytes,32 kBytes,51,36 MHz
STM32F101RD,STM32F101RDTx,Active,2.865,,LQFP64,384 kBytes,48 kBytes,51,36 MHz
STM32F101RE,STM32F101RETx,Active,3.232,,LQFP64,512 kBytes,48 kBytes,51,36 MHz
STM32F101RF,STM32F101RFTx,Active,3.663,,LQFP64,768 kBytes,80 kBytes,51,36 MHz
STM32F101RG,STM32F101RGTx,Active,4.094,,LQFP64,1024 kBytes,80 kBytes,51,36 MHz
STM32F101T4,STM32F101T4Ux,Active,1.476,,VFQFPN36,16 kBytes,4 kBytes,26,36 MHz
STM32F101T6,STM32F101T6Ux,Active,1.579,,VFQFPN36,32 kBytes,6 kBytes,26,36 MHz
STM32F101T8,STM32F101T8Ux,Active,1.795,,VFQFPN36,64 kBytes,10 kBytes,26,36 MHz
STM32F101TB,STM32F101TBUx,Active,2.032,,VFQFPN36,128 kBytes,16 kBytes,26,36 MHz
STM32F101V8,STM32F101V8Tx,Active,2.166,,LQFP100,64 kBytes,10 kBytes,82,36 MHz
STM32F101VB,STM32F101VBTx,Active,2.403,,LQFP100,128 kBytes,16 kBytes,82,36 MHz
STM32F101VC,STM32F101VCTx,Active,2.77,,LQFP100,256 kBytes,32 kBytes,82,36 MHz
STM32F101VD,STM32F101VDTx,Active,3.137,,LQFP100,384 kBytes,48 kBytes,82,36 MHz
STM32F101VE,STM32F101VETx,Active,3.503,,LQFP100,512 kBytes,48 kBytes,82,36 MHz
STM32F101VF,STM32F101VFTx,Active,3.935,,LQFP100,768 kBytes,80 kBytes,82,36 MHz
STM32F101VG,STM32F101VGTx,Active,4.366,,LQFP100,1024 kBytes,80 kBytes,82,36 MHz
STM32F101ZC,STM32F101ZCTx,Active,3.267,,LQFP144,256 kBytes,32 kBytes,114,36 MHz
STM32F101ZD,STM32F101ZDTx,Active,3.591,,LQFP144,384 kBytes,48 kBytes,114,36 MHz
STM32F101ZE,STM32F101ZETx,Active,3.957,,LQFP144,512 kBytes,48 kBytes,114,36 MHz
STM32F101ZF,STM32F101ZFTx,Active,4.389,,LQFP144,768 kBytes,80 kBytes,114,36 MHz
STM32F101ZG,STM32F101ZGTx,Active,4.82,,LQFP144,1024 kBytes,80 kBytes,114,36 MHz
STM32F102C4,STM32F102C4Tx,Active,1.555,,LQFP48,16 kBytes,4 kBytes,37,48 MHz
STM32F102C6,STM32F102C6Tx,Active,1.663,,LQFP48,32 kBytes,6 kBytes,37,48 MHz
STM32F102C8,STM32F102C8Tx,Active,1.879,,LQFP48,64 kBytes,10 kBytes,37,48 MHz
STM32F102CB,STM32F102CBTx,Active,2.116,,LQFP48,128 kBytes,16 kBytes,37,48 MHz
STM32F102R4,STM32F102R4Tx,Active,1.693,,LQFP64,16 kBytes,4 kBytes,51,48 MHz
STM32F102R6,STM32F102R6Tx,Active,1.801,,LQFP64,32 kBytes,6 kBytes,51,48 MHz
STM32F102R8,STM32F102R8Tx,Active,2.017,,LQFP64,64 kBytes,10 kBytes,51,48 MHz
STM32F102RB,STM32F102RBTx,Active,2.254,,LQFP64,128 kBytes,16 kBytes,51,48 MHz
STM32F103C4,STM32F103C4Tx,Active,1.732,,LQFP48,16 kBytes,6 kBytes,37,72 MHz
STM32F103C6,STM32F103C6Tx,Active,1.775,,LQFP48,32 kBytes,10 kBytes,37,72 MHz
STM32F103C6,STM32F103C6Ux,Active,1.775,,UFQFPN48,32 kBytes,10 kBytes,37,72 MHz
STM32F103C8,STM32F103C8Tx,Active,2.056,,LQFP48,64 kBytes,20 kBytes,37,72 MHz
STM32F103CB,STM32F103CBTx,Active,2.293,,LQFP48,128 kBytes,20 kBytes,37,72 MHz
STM32F103CB,STM32F103CBUx,Active,2.293,,UFQFPN48,128 kBytes,20 kBytes,37,72 MHz
STM32F103R4,STM32F103R4Hx,NRND,1.89,,TFBGA64,16 kBytes,6 kBytes,50,72 MHz
STM32F103R4,STM32F103R4Tx,NRND,1.89,,LQFP64,16 kBytes,6 kBytes,51,72 MHz
STM32F103R6,STM32F103R6Hx,Active,1.997,,TFBGA64,32 kBytes,10 kBytes,50,72 MHz
STM32F103R6,STM32F103R6Tx,Active,1.997,,LQFP64,32 kBytes,10 kBytes,51,72 MHz
STM32F103R8,STM32F103R8Hx,Active,2.213,,TFBGA64,64 kBytes,20 kBytes,50,72 MHz
STM32F103R8,STM32F103R8Tx,Active,2.213,,LQFP64,64 kBytes,20 kBytes,51,72 MHz
STM32F103RB,STM32F103RBHx,Active,2.515,,TFBGA64,128 kBytes,20 kBytes,50,72 MHz
STM32F103RB,STM32F103RBTx,Active,2.515,NUCLEO-F103RB,LQFP64,128 kBytes,20 kBytes,51,72 MHz
STM32F103RC,STM32F103RCTx,Active,2.839,,LQFP64,256 kBytes,48 kBytes,51,72 MHz
STM32F103RC,STM32F103RCYx,Active,2.839,,WLCSP64,256 kBytes,64 kBytes,50,72 MHz
STM32F103RD,STM32F103RDTx,Active,3.205,,LQFP64,384 kBytes,64 kBytes,51,72 MHz
STM32F103RD,STM32F103RDYx,Active,3.205,,WLCSP64,384 kBytes,64 kBytes,50,72 MHz
STM32F103RE,STM32F103RETx,Active,3.594,,LQFP64,512 kBytes,64 kBytes,51,72 MHz
STM32F103RE,STM32F103REYx,Active,3.594,,WLCSP64,512 kBytes,64 kBytes,50,72 MHz
STM32F103RF,STM32F103RFTx,Active,4.111,,LQFP64,768 kBytes,96 kBytes,51,72 MHz
STM32F103RG,STM32F103RGTx,Active,4.543,,LQFP64,1024 kBytes,96 kBytes,51,72 MHz
STM32F103T4,STM32F103T4Ux,Active,1.732,,VFQFPN36,16 kBytes,6 kBytes,26,72 MHz
STM32F103T6,STM32F103T6Ux,Active,1.84,,VFQFPN36,32 kBytes,10 kBytes,26,72 MHz
STM32F103T8,STM32F103T8Ux,Active,2.056,,VFQFPN36,64 kBytes,20 kBytes,26,72 MHz
